WKT,highway,name,oneway,lanes,maxspeed,service,ref,turn:lanes,surface,foot,bicycle,horse,maxspeed:type,access,segregated,lanes:backward,lanes:forward,junction,crossing,crossing_ref,cycleway,route,route_name,route_pref_color,lit,turn:lanes:backward,turn:lanes:forward
"LINESTRING (-1.6841207 53.8063751,-1.6841983 53.8065395,-1.684349 53.8068236,-1.6844506 53.8070151,-1.6846015 53.8072899,-1.684669 53.8074128,-1.6848087 53.8077032,-1.6849082 53.8079708,-1.6849424 53.8081622,-1.6849794 53.8084511,-1.6850189 53.8089096,-1.6849446 53.8094276,-1.6847176 53.8099635,-1.6843894 53.8105022,-1.6839625 53.8110038,-1.6834764 53.8114688,-1.6829857 53.8119068,-1.6825258 53.8123059,-1.6824466 53.8123748,-1.6816826 53.8130986,-1.6808352 53.8138423,-1.6800286 53.8145872,-1.6792195 53.8153192,-1.6779971 53.8164312,-1.6778356 53.8165662,-1.6776763 53.8167131,-1.6763924 53.817805,-1.6752059 53.8187281,-1.674238 53.8194524,-1.6739845 53.819665,-1.6736319 53.8199309,-1.6714405 53.8215835,-1.6705811 53.8222316,-1.6687809 53.8237467,-1.6681722 53.824259,-1.6680893 53.824419,-1.66805 53.8244928,-1.6679981 53.8245902,-1.6678034 53.824751,-1.6676186 53.8248262,-1.6673921 53.8248608,-1.6670124 53.8248753,-1.6664648 53.8249993,-1.6664052 53.8250279,-1.6657695 53.8253325,-1.6655856 53.8254368,-1.6654959 53.8254876,-1.665298 53.8256021,-1.6650282 53.825772,-1.6643158 53.826228,-1.6637407 53.8266072,-1.6629418 53.8271508,-1.6626349 53.8273596,-1.6622245 53.8276312,-1.6620508 53.8277462,-1.6614217 53.8281606,-1.6609182 53.8285153,-1.6606481 53.8286776,-1.6602174 53.8289701,-1.659269 53.8295816,-1.6568931 53.8312015,-1.654953 53.8325001,-1.653088 53.833732,-1.6529201 53.8338434,-1.6526861 53.8339987,-1.6524998 53.8341223,-1.6523561 53.8342176,-1.6521199 53.8343743,-1.6520139 53.8344905,-1.6519231 53.8345842,-1.651845 53.8346588,-1.6518459 53.8346994,-1.6518338 53.8347372,-1.6517733 53.834806,-1.6516481 53.8348634,-1.6515285 53.8348808,-1.6513858 53.8348674,-1.6509304 53.8349054,-1.6510738 53.8348252,-1.6511304 53.8347634,-1.6511708 53.8346878,-1.6511711 53.8346706,-1.6511817 53.8346308,-1.6512252 53.8345727,-1.6513008 53.8345241,-1.6513943 53.8344938,-1.6514846 53.8344823,-1.6515969 53.8344887,-1.6517509 53.8344815,-1.6518804 53.8344579,-1.6521199 53.8343743)",,Leeds Outer Ring Road,,,,,,,,,,,,,,,,,,,,road,Leeds Outer Ring Road,0,,,
"LINESTRING (-1.68628 53.8079673,-1.6853568 53.8065558,-1.6850765 53.8064195,-1.6848128 53.8064195,-1.6841983 53.8065395)",residential,Priesthorpe Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6859365 53.8055496,-1.6857402 53.8055876,-1.6847836 53.8057722)",trunk,Bradford Road,yes,3,40 mph,,A647,"left;through|right|right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6861236 53.8061533,-1.6869559 53.80739,-1.686998 53.8074489,-1.6870516 53.8074822,-1.6871254 53.8075004,-1.6872085 53.8074956,-1.6874808 53.8074374,-1.6876339 53.8076688)",residential,Meadow Park Drive,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6857402 53.8055876,-1.6857702 53.8056321,-1.6861236 53.8061533,-1.6867887 53.8059981,-1.6869081 53.8059767,-1.6869886 53.8059814,-1.687065 53.8060084,-1.6871052 53.8060487,-1.6878589 53.8072272,-1.6878697 53.8072905,-1.6878321 53.8073412,-1.687761 53.8073733,-1.6874808 53.8074374)",residential,Meadow Park Crescent,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.68705 53.805334,-1.6870685 53.8053691,-1.6873039 53.805781)",service,,,,,alley,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6881642 53.8061827,-1.6881495 53.8061462,-1.6881508 53.8061011,-1.688183 53.8060631,-1.688293 53.8060251,-1.6884526 53.8060061,-1.6886162 53.8060195,-1.6887856 53.8060453)",residential,Woodhall Park Gardens,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6897983 53.8067452,-1.6897494 53.8066675,-1.689728 53.8066081,-1.6897145 53.80654,-1.6897038 53.8064917,-1.689685 53.8064648,-1.6896582 53.8064474,-1.689618 53.806441,-1.6893659 53.806441)",service,,,,,alley,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6889332 53.8070759,-1.688824 53.8064068,-1.6887966 53.8062285,-1.6887856 53.8060453,-1.6888303 53.8059048,-1.6889618 53.8057767,-1.689213 53.8056456,-1.6900638 53.8054695)",residential,Woodhall Park Crescent East,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6897007 53.8048136,-1.6897212 53.8048507,-1.6900638 53.8054695,-1.6903499 53.8060224,-1.6906088 53.8065226)",residential,Woodhall Park Drive,,,,,,,,,,,,,,,,,,,,,,,,,
